"name","label","sname","author","scomname","s_rank","eo_track_status_desc","explorer","egt_uid","family","ELCODE_BCD","NAME_CATEGORY_DESC","growth_habit","element_type","duration"
"14010","Abronia mellifera : White sandverbena","Abronia mellifera","Dougl. ex Hook.","White sandverbena","SNR","Track all extant and selected historical EOs","https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.131438","ELEMENT_GLOBAL.2.131438","Nyctaginaceae","PDNYC010F0","Vascular Plant","HERBACEOUS|Forb/herb","Plant","PERENNIAL"
"9504","Abronia turbinata : Trans montane abronia","Abronia turbinata","Torr. ex S. Wats.","Trans montane abronia","S1","Track all extant and selected historical EOs","https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.148355","ELEMENT_GLOBAL.2.148355","Nyctaginaceae","PDNYC010M0","Vascular Plant","HERBACEOUS|Forb/herb","Plant","ANNUAL"
"8751","Abronia umbellata ssp. breviflora : Pink sandverbena","Abronia umbellata ssp. breviflora","(Standl.) Munz","Pink sandverbena","S1","Track all extant and selected historical EOs","https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.158927","ELEMENT_GLOBAL.2.158927","Nyctaginaceae","PDNYC010N2","Vascular Plant","HERBACEOUS|Forb/herb","Plant","ANNUAL"
"7306","Acalypta cooleyi : Cooley's lace bug","Acalypta cooleyi","Drake, 1917","Cooley's lace bug","S2","Track all extant and selected historical EOs","https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.118219","ELEMENT_GLOBAL.2.118219","Tingidae","IIHEM34030","Invertebrate Animal","","Animal",""
"7305","Acalypta lillianis : Lillian's lace bug","Acalypta lillianis","Torre-Bueno, 1916","Lillian's lace bug","S1?","Track all extant and selected historical EOs","https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.113394","ELEMENT_GLOBAL.2.113394","Tingidae","IIHEM34020","Invertebrate Animal","","Animal",""
"7310","Acetropis americana : American grass bug","Acetropis americana","Knight, 1927","American grass bug","S1","Track all extant and selected historical EOs","https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.116616","ELEMENT_GLOBAL.2.116616","Miridae","IIHEM76010","Invertebrate Animal","","Animal",""
"13982","Acipenser medirostris pop. 1 : Green sturgeon (Southern DPS)","Acipenser medirostris pop. 1","","Green sturgeon (Southern DPS)","S2?N","Track all extant and selected historical EOs","https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1131628","ELEMENT_GLOBAL.2.1131628","Acipenseridae","AFCAA01031","Vertebrate Animal","","Animal",""
"13986","Acipenser medirostris pop. 2 : Green sturgeon (Northern DPS)","Acipenser medirostris pop. 2","","Green sturgeon (Northern DPS)","S3","Track all extant and selected historical EOs","https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1131629","ELEMENT_GLOBAL.2.1131629","Acipenseridae","AFCAA01032","Vertebrate Animal","","Animal",""
"12185","Actaea elata var. elata : Tall bugbane","Actaea elata var. elata","","Tall bugbane","S3?","Track all extant and selected historical EOs","https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.802543","ELEMENT_GLOBAL.2.802543","Ranunculaceae","PDRAN0T012","Vascular Plant","","Plant",""
"8867","Actaea laciniata : Mt. Hood bugbane","Actaea laciniata","(S. Wats.) J. Compton","Mt. Hood bugbane","S3","Track all extant and selected historical EOs","https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.137395","ELEMENT_GLOBAL.2.137395","Ranunculaceae","PDRAN07040","Vascular Plant","HERBACEOUS|Forb/herb","Plant","PERENNIAL"
