name,label,sname,author,scomname,s_rank,eo_track_status_desc,explorer,egt_uid,family,ELCODE_BCD,NAME_CATEGORY_DESC,growth_habit,element_type,duration
14010,Abronia mellifera : White sandverbena,Abronia mellifera,Dougl. ex Hook.,White sandverbena,SNR,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.131438,ELEMENT_GLOBAL.2.131438,Nyctaginaceae,PDNYC010F0,Vascular Plant,HERBACEOUS|Forb/herb,Plant,PERENNIAL
9504,Abronia turbinata : Trans montane abronia,Abronia turbinata,Torr. ex S. Wats.,Trans montane abronia,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.148355,ELEMENT_GLOBAL.2.148355,Nyctaginaceae,PDNYC010M0,Vascular Plant,HERBACEOUS|Forb/herb,Plant,ANNUAL
8751,Abronia umbellata ssp. breviflora : Pink sandverbena,Abronia umbellata ssp. breviflora,(Standl.) Munz,Pink sandverbena,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.158927,ELEMENT_GLOBAL.2.158927,Nyctaginaceae,PDNYC010N2,Vascular Plant,HERBACEOUS|Forb/herb,Plant,ANNUAL
12185,Actaea elata var. elata : Tall bugbane,Actaea elata var. elata,,Tall bugbane,S3?,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.802543,ELEMENT_GLOBAL.2.802543,Ranunculaceae,PDRAN0T012,Vascular Plant,,Plant,
8867,Actaea laciniata : Mt. Hood bugbane,Actaea laciniata,(S. Wats.) J. Compton,Mt. Hood bugbane,S3,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.137395,ELEMENT_GLOBAL.2.137395,Ranunculaceae,PDRAN07040,Vascular Plant,HERBACEOUS|Forb/herb,Plant,PERENNIAL
9354,Adiantum jordanii : California maiden-hair,Adiantum jordanii,C. Muell.,California maiden-hair,S2,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.135723,ELEMENT_GLOBAL.2.135723,Pteridaceae,PPADI03060,Vascular Plant,FERN,Plant,PERENNIAL
8704,Agastache cusickii : Cusick's giant-hyssop,Agastache cusickii,(Greenm.) Heller,Cusick's giant-hyssop,S2,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.158064,ELEMENT_GLOBAL.2.158064,Lamiaceae,PDLAM03030,Vascular Plant,HERBACEOUS|Forb/herb,Plant,PERENNIAL
8237,Agoseris elata : Tall agoseris,Agoseris elata,(Nutt.) Greene,Tall agoseris,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.834244,ELEMENT_GLOBAL.2.834244,Asteraceae,PDAST090K0,Vascular Plant,,Plant,
12541,Agrimonia gryposepala : Tall hairy groovebur,Agrimonia gryposepala,Wallr.,Tall hairy groovebur,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.135223,ELEMENT_GLOBAL.2.135223,Rosaceae,PDROS03030,Vascular Plant,HERBACEOUS|Forb/herb,Plant,PERENNIAL
365925,Agrostis blasdalei : Cliff bentgrass,Agrostis blasdalei,A.S. Hitchc.,Cliff bentgrass,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.147690,ELEMENT_GLOBAL.2.147690,Poaceae,PMPOA04060,Vascular Plant,HERBACEOUS|Graminoid,Plant,PERENNIAL
